"datestamp","site","interviews","anglers","chinook","coho","pink","chum","lingcod","halibut","sampleday","allsalmon","cuinterviews","cuanglers","cuchinook","cucoho","cupink","cuchum","culingcod","cuhalibut","cusampleday","cuallsalmon"
2017-09-06,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1000,2029,470,165,73,2,0,0,30,710
2017-09-07,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1000,2029,470,165,73,2,0,0,30,710
2017-09-08,"Armeni Ramp",17,31,0,25,0,0,0,0,1,25,1017,2060,470,190,73,2,0,0,31,735
2017-09-09,"Armeni Ramp",34,73,0,65,1,0,0,0,1,66,1051,2133,470,255,74,2,0,0,32,801
2017-09-10,"Armeni Ramp",38,80,1,52,1,0,0,0,1,54,1089,2213,471,307,75,2,0,0,33,855
2017-09-11,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1089,2213,471,307,75,2,0,0,33,855
2017-09-12,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1089,2213,471,307,75,2,0,0,33,855
2017-09-13,"Armeni Ramp",17,26,0,36,0,0,0,0,1,36,1106,2239,471,343,75,2,0,0,34,891
2017-09-14,"Armeni Ramp",16,31,0,18,0,0,0,0,1,18,1122,2270,471,361,75,2,0,0,35,909
2017-09-15,"Armeni Ramp",30,57,0,55,0,0,0,0,1,55,1152,2327,471,416,75,2,0,0,36,964
2017-09-16,"Armeni Ramp",43,99,0,95,0,0,0,0,1,95,1195,2426,471,511,75,2,0,0,37,1059
2017-09-17,"Armeni Ramp",31,75,0,38,0,0,0,0,1,38,1226,2501,471,549,75,2,0,0,38,1097
2017-09-18,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1226,2501,471,549,75,2,0,0,38,1097
2017-09-19,"Armeni Ramp",3,4,0,3,0,0,0,0,1,3,1229,2505,471,552,75,2,0,0,39,1100
2017-09-20,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1229,2505,471,552,75,2,0,0,39,1100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-25,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-26,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-27,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-28,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-29,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-30,"Blaine Ramp",1,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0
2017-07-31,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
2017-08-01,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
2017-08-02,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
2017-08-03,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
2017-08-04,"Blaine Ramp",2,3,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0,2,0
2017-08-05,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,0
2017-08-06,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,0
2017-08-07,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,0
2017-08-08,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,0
2017-08-09,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,0
2017-08-10,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,0
2017-08-11,"Blaine Ramp",1,1,0,0,0,0,0,0,1,0,4,6,0,0,0,0,0,0,3,0
2017-08-12,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0
2017-08-13,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0
2017-08-14,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0
2017-08-15,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0
2017-08-16,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0
2017-08-17,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0
2017-08-18,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0
2017-08-19,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0
2017-08-20,"Blaine Ramp",1,2,0,0,0,0,0,0,1,0,5,8,0,0,0,0,0,0,4,0
2017-08-21,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,4,0
2017-08-22,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,4,0
2017-08-23,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,4,0
2017-08-24,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,4,0
2017-08-25,"Blaine Ramp",2,5,1,0,0,0,0,0,1,1,7,13,1,0,0,0,0,0,5,1
2017-08-26,"Blaine Ramp",2,6,0,0,0,0,0,0,1,0,9,19,1,0,0,0,0,0,6,1
2017-08-27,"Blaine Ramp",2,3,1,0,0,0,0,0,1,1,11,22,2,0,0,0,0,0,7,2
2017-08-28,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,11,22,2,0,0,0,0,0,7,2
2017-08-29,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,11,22,2,0,0,0,0,0,7,2
2017-08-30,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,11,22,2,0,0,0,0,0,7,2
2017-08-31,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,11,22,2,0,0,0,0,0,7,2
2017-09-01,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,11,22,2,0,0,0,0,0,7,2
2017-09-02,"Blaine Ramp",4,7,0,0,1,0,0,0,1,1,15,29,2,0,1,0,0,0,8,3
2017-09-03,"Blaine Ramp",1,1,0,0,0,0,0,0,1,0,16,30,2,0,1,0,0,0,9,3
2017-09-04,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,16,30,2,0,1,0,0,0,9,3
2017-09-05,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,16,30,2,0,1,0,0,0,9,3
2017-09-06,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,16,30,2,0,1,0,0,0,9,3
2017-09-07,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,16,30,2,0,1,0,0,0,9,3
2017-09-08,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,16,30,2,0,1,0,0,0,9,3
2017-09-09,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,16,30,2,0,1,0,0,0,9,3
2017-09-10,"Blaine Ramp",2,4,0,0,0,0,0,0,1,0,18,34,2,0,1,0,0,0,10,3
2017-09-11,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-12,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-13,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-14,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-15,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-16,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-17,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-18,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-19,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
2017-09-20,"Blaine Ramp",0,0,0,0,0,0,0,0,0,0,18,34,2,0,1,0,0,0,10,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
