Site,rawlat,rawlong,callname
Shilshole Public Ramp,47.687015,-122.404359,Shilshole
Shipyard Cove Marina & Ramp,48.52707,-122.999468,Shipyard Cove
Skokomish Ramp,47.368296,-123.157593,Skokomish Ramp
Skyline Marina/Sling (Flounder Bay),48.494374,-122.683292,Skyline Marina
Bellingham Ramp Squalicum Harbor,48.721543,-122.509471,Squalicum Harbor
Swan Town/East Bay Marina/Ramp (Oly. Isle),47.057877,-122.898528,Swantown Marina
Swinomish Channel Ramp,48.454685,-122.513888,Swinomish Channel
Narrows Marina,47.244853,-122.558313,Tacoma Narrows
Narrows Park (aka Narrows Properties Park),47.267044,-122.563561,Tacoma Narrows
Solo Point (Tatsolo Pt-Ft Lewis) Rm,47.139124,-122.631626,Tacoma Narrows
Solo Point Shore,47.138722,-122.633042,Tacoma Narrows
Twanoh State Park,47.378094,-122.975935,Twanoh
Union Ramp,47.357988,-123.10055,Union
Washington Park Launch Ramp,48.500368,-122.692746,Washington Park
Zittels Marina,47.164821,-122.808615,Zittels
Big Beef Beach,47.656126,-122.784804,Big Beef 
Allyn Public Ramp,47.384543,-122.826552,Allyn Ramp
Kennedy Creek Mouth,47.095119,-123.081665,Kennedy Creek
Steamboat Island Bridge,47.181903,-122.939768,Steamboat Island
Dewatto Creek Watch,47.451104,-123.054761,Dewatto Creek
John's Creek,,,
Camano Island State Park Public Ramp,48.124032,-122.495507,Camano Island Park
"Maplegrove Ramp, Camano Is",48.253167,-122.517733,Maple Grove
Steilacoom Public Ramp,47.172418,-122.604313,Steilacoom
Triton Cove State Park,47.608748,-122.984082,Triton Cove
Wauna Shore,47.378712,-122.642013,Purdy Spit
John Wayne Marina,48.062341,-123.037229,Sequim
Oak Harbor Marina & Public Ramp,48.286133,-122.637447,Oak Harbor
Armeni Public Ramp,47.591993,-122.382263,Armeni Ramp
Bellingham Ramp (Glenn St.) Squalicum Harbor,48.721543,-122.509471,Squalicum Harbor
John Wayne Marina Docks,48.062341,-123.037229,Sequim
Everett Ramp (formerly Norton Street Ramp (2010)),48.004731,-122.222072,Everett
Curleys Resort,48.262788,-124.300744,Sekiu
Coronet Bay Public Ramp,48.401541,-122.622947,Coronet Bay
