"Site","rawsite","datestamp","catcharea","interviews","anglers","chinook","coho","pink","chum","lingcod","halibut","lat","long"
"Mukilteo","Mukilteo Lighthouse Park (State Park Public Ramp)",2019-06-01,"9",4,15,0,0,0,0,2,0,47.948177,-122.307854
"Mukilteo","Mukilteo Lighthouse Park (State Park Public Ramp)",2019-05-30,"9",1,2,0,0,0,0,0,0,47.948177,-122.307854
"Port Angeles","Port Angeles West Ramp",2019-06-01,"6",9,19,0,0,0,0,0,2,48.128385,-123.456685
"Port Angeles","Port Angeles West Ramp",2019-05-30,"6",12,25,0,0,0,0,0,2,48.128385,-123.456685
"Port Townsend","Port Townsend Boat Haven Ramp",2019-05-31,"6",2,4,0,0,0,0,0,0,48.107596,-122.77465
"Port Townsend","Port Townsend Boat Haven Ramp",2019-06-01,"6",4,10,0,0,0,0,1,0,48.107596,-122.77465
"Sekiu","Curleys Resort",2019-05-26,"5",2,4,0,0,0,0,0,0,48.263847,-124.292773
"Sekiu","Curleys Resort",2019-05-30,"5",1,1,0,0,0,0,0,0,48.263847,-124.292773
"Sekiu","Curleys Resort",2019-05-26,"4",1,4,0,0,0,0,2,2,48.263847,-124.292773
"Sekiu","Curleys Resort",2019-06-01,"5",2,4,0,0,0,0,0,1,48.263847,-124.292773
"Sekiu","Van Ripers Resort",2019-06-01,"5",8,15,0,0,0,0,1,4,48.263847,-124.292773
"Sekiu","Van Ripers Resort",2019-05-30,"5",12,23,0,0,0,0,0,4,48.263847,-124.292773
"Sekiu","Olson's Resort",2019-05-30,"4",3,8,0,0,0,0,0,2,48.263847,-124.292773
"Sekiu","Olson's Resort",2019-05-30,"5",22,46,0,0,0,0,2,13,48.263847,-124.292773
"Sekiu","Olson's Resort",2019-06-01,"5",24,59,0,0,0,0,1,11,48.263847,-124.292773
"Sequim","John Wayne Marina",2019-05-30,"6",6,16,0,0,0,0,0,0,48.062341,-123.037229
"Sequim","John Wayne Marina Docks",2019-06-01,"6",2,8,0,0,0,0,0,0,48.062341,-123.037229
"Sequim","John Wayne Marina",2019-06-01,"6",23,58,0,0,0,0,0,1,48.062341,-123.037229
"Sequim","John Wayne Marina",2019-05-29,"6",1,2,0,0,0,0,0,0,48.062341,-123.037229
"Sequim","John Wayne Marina Docks",2019-05-30,"6",4,8,0,0,0,0,0,1,48.062341,-123.037229
"Shilshole","Shilshole Public Ramp",2019-05-31,"9",1,4,0,0,0,0,0,0,47.687015,-122.404359
"Squalicum Harbor","Bellingham Ramp (Glenn St.) Squalicum Harbor",2019-06-01,"7",3,9,0,0,0,0,1,0,48.721543,-122.509471
"Squalicum Harbor","Bellingham Ramp (Glenn St.) Squalicum Harbor",2019-05-30,"7",4,11,0,0,0,0,0,0,48.721543,-122.509471
"Squalicum Harbor","Bellingham Ramp (Glenn St.) Squalicum Harbor",2019-05-26,"7",4,9,0,0,0,0,0,0,48.721543,-122.509471
"Washington Park","Washington Park Launch Ramp",2019-05-31,"7",5,12,0,0,0,0,2,0,48.500368,-122.692746
"Washington Park","Washington Park Launch Ramp",2019-06-01,"7",9,25,0,0,0,0,5,0,48.500368,-122.692746
